County,Event_Type,Year,Month,Time_Index,Predicted_Event_Count,Predicted_Average_Magnitude
LAMPASAS,HAIL,2025,3,843,0.3,1.49
LAMPASAS,HAIL,2025,4,844,0.3,1.49
LAMPASAS,HAIL,2025,5,845,0.3,1.49
LAMPASAS,HAIL,2025,6,846,0.3,1.49
LAMPASAS,HAIL,2025,7,847,0.3,1.49
LAMPASAS,HAIL,2025,8,848,0.3,1.49
LAMPASAS,HAIL,2025,9,849,0.3,1.49
LAMPASAS,HAIL,2025,10,850,0.3,1.49
LAMPASAS,HAIL,2025,11,851,0.3,1.49
LAMPASAS,HAIL,2025,12,852,0.3,1.49
LAMPASAS,HAIL,2026,1,853,0.3,1.49
LAMPASAS,HAIL,2026,2,854,0.3,1.49
LAMPASAS,HAIL,2026,3,855,0.3,1.49
LAMPASAS,HAIL,2026,4,856,0.3,1.49
LAMPASAS,HAIL,2026,5,857,0.3,1.49
LAMPASAS,HAIL,2026,6,858,0.3,1.49
LAMPASAS,HAIL,2026,7,859,0.3,1.49
LAMPASAS,HAIL,2026,8,860,0.3,1.49
LAMPASAS,HAIL,2026,9,861,0.31,1.49
LAMPASAS,HAIL,2026,10,862,0.31,1.49
LAMPASAS,HAIL,2026,11,863,0.31,1.49
LAMPASAS,HAIL,2026,12,864,0.31,1.49
LAMPASAS,HAIL,2027,1,865,0.31,1.49
LAMPASAS,HAIL,2027,2,866,0.31,1.49
LAMPASAS,HAIL,2027,3,867,0.31,1.49
LAMPASAS,HAIL,2027,4,868,0.31,1.49
LAMPASAS,HAIL,2027,5,869,0.31,1.49
LAMPASAS,HAIL,2027,6,870,0.31,1.49
LAMPASAS,HAIL,2027,7,871,0.31,1.49
LAMPASAS,HAIL,2027,8,872,0.31,1.49
LAMPASAS,HAIL,2027,9,873,0.31,1.49
LAMPASAS,HAIL,2027,10,874,0.31,1.49
LAMPASAS,HAIL,2027,11,875,0.31,1.49
LAMPASAS,HAIL,2027,12,876,0.31,1.49
LAMPASAS,HAIL,2028,1,877,0.31,1.49
LAMPASAS,HAIL,2028,2,878,0.31,1.49
LAMPASAS,HAIL,2028,3,879,0.31,1.49
LAMPASAS,HAIL,2028,4,880,0.31,1.49
LAMPASAS,HAIL,2028,5,881,0.31,1.49
LAMPASAS,HAIL,2028,6,882,0.31,1.49
LAMPASAS,HAIL,2028,7,883,0.31,1.49
LAMPASAS,HAIL,2028,8,884,0.31,1.49
LAMPASAS,HAIL,2028,9,885,0.31,1.49
LAMPASAS,HAIL,2028,10,886,0.32,1.49
LAMPASAS,HAIL,2028,11,887,0.32,1.49
LAMPASAS,HAIL,2028,12,888,0.32,1.49
LAMPASAS,HAIL,2029,1,889,0.32,1.49
LAMPASAS,HAIL,2029,2,890,0.32,1.49
LAMPASAS,HAIL,2029,3,891,0.32,1.49
LAMPASAS,HAIL,2029,4,892,0.32,1.49
LAMPASAS,HAIL,2029,5,893,0.32,1.49
LAMPASAS,HAIL,2029,6,894,0.32,1.49
LAMPASAS,HAIL,2029,7,895,0.32,1.49
LAMPASAS,HAIL,2029,8,896,0.32,1.49
LAMPASAS,HAIL,2029,9,897,0.32,1.49
LAMPASAS,HAIL,2029,10,898,0.32,1.49
LAMPASAS,HAIL,2029,11,899,0.32,1.49
LAMPASAS,HAIL,2029,12,900,0.32,1.49
LAVACA,HAIL,2025,1,841,0.17,1.22
LAVACA,HAIL,2025,2,842,0.17,1.22
LAVACA,HAIL,2025,3,843,0.17,1.22
LAVACA,HAIL,2025,4,844,0.17,1.22
LAVACA,HAIL,2025,5,845,0.17,1.22
LAVACA,HAIL,2025,6,846,0.17,1.22
LAVACA,HAIL,2025,7,847,0.17,1.22
LAVACA,HAIL,2025,8,848,0.17,1.22
LAVACA,HAIL,2025,9,849,0.17,1.22
LAVACA,HAIL,2025,10,850,0.17,1.22
LAVACA,HAIL,2025,11,851,0.17,1.22
LAVACA,HAIL,2025,12,852,0.17,1.22
LAVACA,HAIL,2026,1,853,0.17,1.22
LAVACA,HAIL,2026,2,854,0.17,1.22
LAVACA,HAIL,2026,3,855,0.17,1.22
LAVACA,HAIL,2026,4,856,0.17,1.22
LAVACA,HAIL,2026,5,857,0.17,1.22
LAVACA,HAIL,2026,6,858,0.17,1.22
LAVACA,HAIL,2026,7,859,0.17,1.22
LAVACA,HAIL,2026,8,860,0.17,1.22
LAVACA,HAIL,2026,9,861,0.17,1.22
LAVACA,HAIL,2026,10,862,0.17,1.22
LAVACA,HAIL,2026,11,863,0.17,1.22
LAVACA,HAIL,2026,12,864,0.17,1.22
LAVACA,HAIL,2027,1,865,0.17,1.22
LAVACA,HAIL,2027,2,866,0.17,1.22
LAVACA,HAIL,2027,3,867,0.17,1.22
LAVACA,HAIL,2027,4,868,0.17,1.22
LAVACA,HAIL,2027,5,869,0.17,1.22
LAVACA,HAIL,2027,6,870,0.17,1.22
LAVACA,HAIL,2027,7,871,0.17,1.22
LAVACA,HAIL,2027,8,872,0.17,1.22
LAVACA,HAIL,2027,9,873,0.17,1.22
LAVACA,HAIL,2027,10,874,0.17,1.22
LAVACA,HAIL,2027,11,875,0.17,1.22
LAVACA,HAIL,2027,12,876,0.17,1.22
LAVACA,HAIL,2028,1,877,0.17,1.22
LAVACA,HAIL,2028,2,878,0.17,1.22
LAVACA,HAIL,2028,3,879,0.17,1.22
LAVACA,HAIL,2028,4,880,0.17,1.22
LAVACA,HAIL,2028,5,881,0.17,1.22
LAVACA,HAIL,2028,6,882,0.17,1.22
LAVACA,HAIL,2028,7,883,0.17,1.22
LAVACA,HAIL,2028,8,884,0.17,1.22
LAVACA,HAIL,2028,9,885,0.18,1.22
LAVACA,HAIL,2028,10,886,0.18,1.22
LAVACA,HAIL,2028,11,887,0.18,1.22
LAVACA,HAIL,2028,12,888,0.18,1.22
LAVACA,HAIL,2029,1,889,0.18,1.22
LAVACA,HAIL,2029,2,890,0.18,1.22
LAVACA,HAIL,2029,3,891,0.18,1.22
LAVACA,HAIL,2029,4,892,0.18,1.22
LAVACA,HAIL,2029,5,893,0.18,1.22
LAVACA,HAIL,2029,6,894,0.18,1.22
LAVACA,HAIL,2029,7,895,0.18,1.22
LAVACA,HAIL,2029,8,896,0.18,1.22
LAVACA,HAIL,2029,9,897,0.18,1.22
LAVACA,HAIL,2029,10,898,0.18,1.22
LAVACA,HAIL,2029,11,899,0.18,1.22
LAVACA,HAIL,2029,12,900,0.18,1.22
LEE,HAIL,2025,1,841,0.22,1.33
LEE,HAIL,2025,2,842,0.22,1.33
LEE,HAIL,2025,3,843,0.22,1.33
LEE,HAIL,2025,4,844,0.22,1.33
LEE,HAIL,2025,5,845,0.23,1.33
LEE,HAIL,2025,6,846,0.23,1.33
LEE,HAIL,2025,7,847,0.23,1.33
LEE,HAIL,2025,8,848,0.23,1.33
LEE,HAIL,2025,9,849,0.23,1.33
LEE,HAIL,2025,10,850,0.23,1.33
LEE,HAIL,2025,11,851,0.23,1.33
LEE,HAIL,2025,12,852,0.23,1.33
LEE,HAIL,2026,1,853,0.23,1.33
LEE,HAIL,2026,2,854,0.23,1.33
LEE,HAIL,2026,3,855,0.23,1.33
LEE,HAIL,2026,4,856,0.23,1.33
LEE,HAIL,2026,5,857,0.23,1.33
LEE,HAIL,2026,6,858,0.23,1.33
LEE,HAIL,2026,7,859,0.23,1.33
LEE,HAIL,2026,8,860,0.23,1.33
LEE,HAIL,2026,9,861,0.23,1.33
LEE,HAIL,2026,10,862,0.23,1.33
LEE,HAIL,2026,11,863,0.23,1.33
LEE,HAIL,2026,12,864,0.23,1.33
LEE,HAIL,2027,1,865,0.23,1.33
LEE,HAIL,2027,2,866,0.23,1.33
LEE,HAIL,2027,3,867,0.23,1.32
LEE,HAIL,2027,4,868,0.23,1.32
LEE,HAIL,2027,5,869,0.23,1.32
LEE,HAIL,2027,6,870,0.23,1.32
LEE,HAIL,2027,7,871,0.23,1.32
LEE,HAIL,2027,8,872,0.23,1.32
LEE,HAIL,2027,9,873,0.23,1.32
LEE,HAIL,2027,10,874,0.23,1.32
LEE,HAIL,2027,11,875,0.23,1.32
LEE,HAIL,2027,12,876,0.23,1.32
LEE,HAIL,2028,1,877,0.24,1.32
LEE,HAIL,2028,2,878,0.24,1.32
LEE,HAIL,2028,3,879,0.24,1.32
LEE,HAIL,2028,4,880,0.24,1.32
LEE,HAIL,2028,5,881,0.24,1.32
LEE,HAIL,2028,6,882,0.24,1.32
LEE,HAIL,2028,7,883,0.24,1.32
LEE,HAIL,2028,8,884,0.24,1.32
LEE,HAIL,2028,9,885,0.24,1.32
LEE,HAIL,2028,10,886,0.24,1.32
LEE,HAIL,2028,11,887,0.24,1.32
LEE,HAIL,2028,12,888,0.24,1.32
LEE,HAIL,2029,1,889,0.24,1.32
LEE,HAIL,2029,2,890,0.24,1.32
LEE,HAIL,2029,3,891,0.24,1.32
LEE,HAIL,2029,4,892,0.24,1.32
LEE,HAIL,2029,5,893,0.24,1.32
LEE,HAIL,2029,6,894,0.24,1.32
LEE,HAIL,2029,7,895,0.24,1.32
LEE,HAIL,2029,8,896,0.24,1.32
LEE,HAIL,2029,9,897,0.24,1.32
LEE,HAIL,2029,10,898,0.24,1.32
LEE,HAIL,2029,11,899,0.24,1.32
LEE,HAIL,2029,12,900,0.24,1.32
LEON,HAIL,2025,1,841,0.25,1.17
LEON,HAIL,2025,2,842,0.25,1.17
LEON,HAIL,2025,3,843,0.26,1.17
LEON,HAIL,2025,4,844,0.26,1.17
LEON,HAIL,2025,5,845,0.26,1.17
LEON,HAIL,2025,6,846,0.26,1.17
LEON,HAIL,2025,7,847,0.26,1.17
LEON,HAIL,2025,8,848,0.26,1.17
LEON,HAIL,2025,9,849,0.26,1.17
LEON,HAIL,2025,10,850,0.26,1.17
LEON,HAIL,2025,11,851,0.26,1.17
LEON,HAIL,2025,12,852,0.26,1.17
LEON,HAIL,2026,1,853,0.26,1.17
LEON,HAIL,2026,2,854,0.26,1.17
LEON,HAIL,2026,3,855,0.26,1.17
LEON,HAIL,2026,4,856,0.26,1.17
LEON,HAIL,2026,5,857,0.26,1.17
LEON,HAIL,2026,6,858,0.26,1.17
LEON,HAIL,2026,7,859,0.26,1.17
LEON,HAIL,2026,8,860,0.26,1.17
LEON,HAIL,2026,9,861,0.26,1.17
LEON,HAIL,2026,10,862,0.26,1.17
LEON,HAIL,2026,11,863,0.26,1.17
LEON,HAIL,2026,12,864,0.26,1.17
LEON,HAIL,2027,1,865,0.26,1.17
LEON,HAIL,2027,2,866,0.26,1.17
LEON,HAIL,2027,3,867,0.26,1.17
LEON,HAIL,2027,4,868,0.26,1.17
LEON,HAIL,2027,5,869,0.26,1.17
LEON,HAIL,2027,6,870,0.26,1.17
LEON,HAIL,2027,7,871,0.27,1.17
LEON,HAIL,2027,8,872,0.27,1.17
LEON,HAIL,2027,9,873,0.27,1.17
LEON,HAIL,2027,10,874,0.27,1.17
LEON,HAIL,2027,11,875,0.27,1.17
LEON,HAIL,2027,12,876,0.27,1.17
LEON,HAIL,2028,1,877,0.27,1.17
LEON,HAIL,2028,2,878,0.27,1.17
LEON,HAIL,2028,3,879,0.27,1.17
LEON,HAIL,2028,4,880,0.27,1.17
LEON,HAIL,2028,5,881,0.27,1.17
LEON,HAIL,2028,6,882,0.27,1.17
LEON,HAIL,2028,7,883,0.27,1.17
LEON,HAIL,2028,8,884,0.27,1.17
LEON,HAIL,2028,9,885,0.27,1.17
LEON,HAIL,2028,10,886,0.27,1.17
LEON,HAIL,2028,11,887,0.27,1.17
LEON,HAIL,2028,12,888,0.27,1.17
LEON,HAIL,2029,1,889,0.27,1.17
LEON,HAIL,2029,2,890,0.27,1.17
LEON,HAIL,2029,3,891,0.27,1.17
LEON,HAIL,2029,4,892,0.27,1.17
LEON,HAIL,2029,5,893,0.27,1.17
LEON,HAIL,2029,6,894,0.27,1.17
LEON,HAIL,2029,7,895,0.27,1.17
LEON,HAIL,2029,8,896,0.27,1.17
LEON,HAIL,2029,9,897,0.27,1.17
LEON,HAIL,2029,10,898,0.27,1.17
LEON,HAIL,2029,11,899,0.28,1.17
LEON,HAIL,2029,12,900,0.28,1.17
LIBERTY,HAIL,2025,1,841,0.21,1.2
LIBERTY,HAIL,2025,2,842,0.21,1.2
LIBERTY,HAIL,2025,3,843,0.21,1.2
LIBERTY,HAIL,2025,4,844,0.21,1.2
LIBERTY,HAIL,2025,5,845,0.21,1.2
LIBERTY,HAIL,2025,6,846,0.21,1.2
LIBERTY,HAIL,2025,7,847,0.21,1.2
LIBERTY,HAIL,2025,8,848,0.21,1.2
LIBERTY,HAIL,2025,9,849,0.21,1.2
LIBERTY,HAIL,2025,10,850,0.21,1.2
LIBERTY,HAIL,2025,11,851,0.21,1.2
LIBERTY,HAIL,2025,12,852,0.21,1.2
LIBERTY,HAIL,2026,1,853,0.21,1.2
LIBERTY,HAIL,2026,2,854,0.21,1.2
LIBERTY,HAIL,2026,3,855,0.21,1.2
LIBERTY,HAIL,2026,4,856,0.21,1.2
LIBERTY,HAIL,2026,5,857,0.21,1.2
LIBERTY,HAIL,2026,6,858,0.21,1.2
LIBERTY,HAIL,2026,7,859,0.21,1.2
LIBERTY,HAIL,2026,8,860,0.21,1.2
LIBERTY,HAIL,2026,9,861,0.21,1.2
LIBERTY,HAIL,2026,10,862,0.21,1.2
LIBERTY,HAIL,2026,11,863,0.21,1.2
LIBERTY,HAIL,2026,12,864,0.21,1.2
LIBERTY,HAIL,2027,1,865,0.21,1.2
LIBERTY,HAIL,2027,2,866,0.21,1.2
LIBERTY,HAIL,2027,3,867,0.21,1.2
LIBERTY,HAIL,2027,4,868,0.21,1.2
LIBERTY,HAIL,2027,5,869,0.21,1.2
LIBERTY,HAIL,2027,6,870,0.21,1.2
LIBERTY,HAIL,2027,7,871,0.21,1.2
LIBERTY,HAIL,2027,8,872,0.21,1.2
LIBERTY,HAIL,2027,9,873,0.21,1.2
LIBERTY,HAIL,2027,10,874,0.21,1.2
LIBERTY,HAIL,2027,11,875,0.21,1.2
LIBERTY,HAIL,2027,12,876,0.22,1.2
LIBERTY,HAIL,2028,1,877,0.22,1.2
LIBERTY,HAIL,2028,2,878,0.22,1.2
LIBERTY,HAIL,2028,3,879,0.22,1.2
LIBERTY,HAIL,2028,4,880,0.22,1.2
LIBERTY,HAIL,2028,5,881,0.22,1.2
LIBERTY,HAIL,2028,6,882,0.22,1.2
LIBERTY,HAIL,2028,7,883,0.22,1.2
